                    combo28    att406    att622   guard18     id868     id740    small4     att10
        IDLE + 0.0s         1  1142386394         0         0         0         0  1106766784  3204448256
        IDLE + 0.1s        57         1        57         1         0         0  1096119872     27415
        IDLE + 0.1s        57         1        57         0         0         0  1083313792     27415
        IDLE + 0.1s        57         1        57         5         0         0         1     27415
        IDLE + 0.2s        57         1        57         1         0         0         0     27415
        IDLE + 0.2s        57         1        57         1         0         0  1093747520     27415
        IDLE + 0.2s        57         1        57         0         0         0         0     27415
        IDLE + 0.2s        57         1        57         8         0       747         1     27415
        IDLE + 0.3s        57         1        57         1         0         0         5     27415
        IDLE + 0.3s        57         1        57      9223         0         0  1106859264     27415
        IDLE + 0.3s        57         1        57         6         0         0  1106859264     27415
        IDLE + 0.4s        57         1        57         1         0         0         0     27415
        IDLE + 0.4s        57         1        57         0         0         0        24     27415
        IDLE + 0.4s        57         1        57         0         0         0  1106905664     27415
        IDLE + 0.5s        57         1        57         0         0         0  1106910944     27415
        IDLE + 0.5s        57         1        57         1         0         0  1106910944     27415
        IDLE + 0.5s        57         1        57         1         0       918         1     27415
        IDLE + 0.6s  1022084014         1         0         4         0         0        18         0
        IDLE + 0.6s  1022084014         1         0         1         0         0        18         0
        IDLE + 0.6s  1022084014         1         0         1         0         0  1106962752         0
        IDLE + 0.6s  1022084014         1         0         0         0         0  1106962752         0
        IDLE + 0.7s  1022084014         1         0         5         0       475  1106962752         0
        IDLE + 0.7s  1022084014         1         0         0         0         0  1107000416         0
        IDLE + 0.7s  1022084014         1         0         1         0         0         1         0
        IDLE + 0.8s  1022084014         1         0         0         0         0        13         0
        IDLE + 0.8s  1022084014         1         0         1         0         0         1         0
        IDLE + 0.9s  1022084014         1         0         1         0         0         0         0
        IDLE + 0.9s  1022084014         1         0         1         0       475         0         0
        IDLE + 0.9s         0         1         0        32         0       754        24         0
        IDLE + 0.9s         0         1         0         0         0         0        24         0
        IDLE + 1.0s         0         1         0         0         0         0  1107101024         0
        IDLE + 1.0s         0         1         0        24         0         0  1107101024         0
        IDLE + 1.0s         0         1         0        24         0       460  1107101024         0
        IDLE + 1.1s         0         1         0         0         0         0  1104424768         0
        IDLE + 1.1s         0         1         0         0         0         0  1104424768  3153907712
        IDLE + 1.1s         0         1         0        13         0         0        13  3153907712
        IDLE + 1.2s         0         1         0         1         0         0        13  3153907712
        IDLE + 1.2s         0         1         0         1         0         0        32  3153907712
        IDLE + 1.2s         0         1         0         4         0         0        32  3153907712
